date,state,district,pincode,demo_age_5_17,demo_age_17
2025-01-03,Maharashtra,Pune,412205,18,481
2025-01-03,Maharashtra,Pune,411043,53,521
2025-01-03,Maharashtra,Pune,411057,129,1299
2025-01-03,Maharashtra,Pune,412209,13,358
2025-01-03,Maharashtra,Pune,412213,20,331
2025-01-03,Maharashtra,Pune,411028,167,1622
2025-01-03,Maharashtra,Pune,413106,69,927
2025-01-04,Maharashtra,Pune,411045,71,642
2025-01-04,Maharashtra,Pune,411033,193,1685
2025-01-05,Maharashtra,Pune,411028,160,1295
2025-01-05,Maharashtra,Pune,411048,248,1665
2025-01-05,Maharashtra,Pune,411046,125,1112
2025-01-06,Maharashtra,Pune,411062,220,1322
2025-01-06,Maharashtra,Pune,411060,96,691
2025-01-03,Maharashtra,Pune,411046,133,1413
2025-01-03,Maharashtra,Pune,411007,19,253
2025-01-03,Maharashtra,Pune,411004,12,229
2025-01-03,Maharashtra,Pune,411037,73,1122
2025-01-03,Maharashtra,Pune,412208,44,844
2025-01-03,Maharashtra,Pune,411058,57,531
2025-01-03,Maharashtra,Pune,411003,19,281
2025-01-03,Maharashtra,Pune,411027,68,741
2025-01-03,Maharashtra,Pune,412206,14,1025
2025-01-03,Maharashtra,Pune,412203,22,346
2025-01-03,Maharashtra,Pune,412403,16,240
2025-01-03,Maharashtra,Pune,412204,17,318
2025-01-03,Maharashtra,Pune,411048,193,1812
2025-01-03,Maharashtra,Pune,412201,17,291
2025-01-06,Maharashtra,Pune,412105,221,1590
2025-01-06,Maharashtra,Pune,411017,175,1111
2025-01-07,Maharashtra,Pune,411045,63,845
2025-01-07,Maharashtra,Pune,413102,115,1162
2025-01-07,Maharashtra,Pune,411014,209,1558
2025-01-09,Maharashtra,Pune,410501,1,49
2025-01-09,Maharashtra,Pune,410510,0,2
2025-01-09,Maharashtra,Pune,410512,0,3
2025-01-09,Maharashtra,Pune,410513,1,0
2025-01-09,Maharashtra,Pune,411020,0,4
2025-01-09,Maharashtra,Pune,411027,1,17
2025-01-09,Maharashtra,Pune,411030,0,11
2025-01-09,Maharashtra,Pune,411038,1,23
2025-01-09,Maharashtra,Pune,411039,0,20
2025-01-09,Maharashtra,Pune,411041,2,24
2025-01-09,Maharashtra,Pune,411047,3,18
2025-01-09,Maharashtra,Pune,412115,0,7
2025-01-09,Maharashtra,Pune,412203,2,18
2025-01-09,Maharashtra,Pune,412204,1,2
2025-01-09,Maharashtra,Pune,412206,0,12
2025-01-09,Maharashtra,Pune,412308,1,17
2025-01-09,Maharashtra,Pune,412312,0,1
2025-01-09,Maharashtra,Pune,412402,0,3
2025-01-09,Maharashtra,Pune,412404,2,3
2025-01-09,Maharashtra,Pune,412406,0,2
2025-01-09,Maharashtra,Pune,412410,1,8
2025-01-09,Maharashtra,Pune,412411,0,6
2025-01-09,Maharashtra,Pune,413102,10,32
2025-01-09,Maharashtra,Pune,413116,0,4
2025-01-09,Maharashtra,Pune,413132,0,3
2025-02-09,Maharashtra,Pune,410504,3,24
2025-02-09,Maharashtra,Pune,410507,2,14
2025-02-09,Maharashtra,Pune,411001,1,44
2025-02-09,Maharashtra,Pune,411004,0,9
2025-02-09,Maharashtra,Pune,411007,1,9
2025-02-09,Maharashtra,Pune,411015,5,31
2025-02-09,Maharashtra,Pune,411016,0,12
2025-02-09,Maharashtra,Pune,411023,1,11
2025-02-09,Maharashtra,Pune,411026,1,7
2025-02-09,Maharashtra,Pune,411030,4,15
2025-02-09,Maharashtra,Pune,411034,1,3
2025-02-09,Maharashtra,Pune,411037,1,35
2025-02-09,Maharashtra,Pune,411040,0,14
2025-02-09,Maharashtra,Pune,411058,6,9
2025-02-09,Maharashtra,Pune,412104,0,1
2025-02-09,Maharashtra,Pune,412109,2,11
2025-02-09,Maharashtra,Pune,412204,1,5
2025-02-09,Maharashtra,Pune,412209,3,3
2025-02-09,Maharashtra,Pune,412210,0,19
2025-02-09,Maharashtra,Pune,412306,0,9
2025-02-09,Maharashtra,Pune,412311,1,0
2025-02-09,Maharashtra,Pune,412402,0,1
2025-02-09,Maharashtra,Pune,413103,0,2
2025-02-09,Maharashtra,Pune,413114,2,18
2025-02-09,Maharashtra,Pune,413116,1,3
2025-02-09,Maharashtra,Pune,413211,0,1
2025-02-09,Maharashtra,Pune,413802,0,4
2025-03-09,Maharashtra,Pune,410503,0,9
2025-03-09,Maharashtra,Pune,410511,0,1
2025-03-09,Maharashtra,Pune,410515,0,3
2025-03-09,Maharashtra,Pune,410516,1,2
2025-03-09,Maharashtra,Pune,411002,2,14
2025-03-09,Maharashtra,Pune,411008,0,6
2025-03-09,Maharashtra,Pune,411018,1,14
2025-03-09,Maharashtra,Pune,411019,2,19
2025-03-09,Maharashtra,Pune,411028,9,53
2025-03-09,Maharashtra,Pune,411032,1,7
2025-03-09,Maharashtra,Pune,411033,7,41
2025-03-09,Maharashtra,Pune,411045,2,26
2025-03-09,Maharashtra,Pune,411046,2,30
2025-03-09,Maharashtra,Pune,411047,0,16
2025-03-09,Maharashtra,Pune,411051,0,10
2025-03-09,Maharashtra,Pune,411060,4,20
2025-03-09,Maharashtra,Pune,411068,0,2
2025-03-09,Maharashtra,Pune,412109,2,8
2025-03-09,Maharashtra,Pune,412115,3,19
2025-03-09,Maharashtra,Pune,412206,1,13
2025-03-09,Maharashtra,Pune,412208,1,11
2025-03-09,Maharashtra,Pune,412209,1,2
2025-03-09,Maharashtra,Pune,412211,1,11
2025-03-09,Maharashtra,Pune,412213,0,7
2025-03-09,Maharashtra,Pune,412301,1,5
2025-03-09,Maharashtra,Pune,412303,0,3
2025-03-09,Maharashtra,Pune,412408,0,4
2025-03-09,Maharashtra,Pune,412410,2,4
2025-03-09,Maharashtra,Pune,413120,1,8
2025-04-09,Maharashtra,Pune,410402,0,1
2025-04-09,Maharashtra,Pune,410403,0,1
2025-04-09,Maharashtra,Pune,410503,0,19
2025-04-09,Maharashtra,Pune,410504,3,20
2025-04-09,Maharashtra,Pune,410508,0,1
2025-04-09,Maharashtra,Pune,411002,1,12
2025-04-09,Maharashtra,Pune,411015,4,31
2025-04-09,Maharashtra,Pune,411021,8,15
2025-04-09,Maharashtra,Pune,411030,1,10
2025-04-09,Maharashtra,Pune,411031,2,1
2025-04-09,Maharashtra,Pune,411032,1,10
2025-04-09,Maharashtra,Pune,411034,0,2
2025-04-09,Maharashtra,Pune,411035,0,9
2025-04-09,Maharashtra,Pune,411040,3,2
2025-04-09,Maharashtra,Pune,411046,4,27
2025-04-09,Maharashtra,Pune,411048,8,43
2025-04-09,Maharashtra,Pune,411052,1,6
2025-04-09,Maharashtra,Pune,411058,0,11
2025-04-09,Maharashtra,Pune,412102,0,2
