date,state,district,pincode,age_0_5,age_5_17,age_18_greater
2025-01-09,Maharashtra,Pune,410504,3,0,0
2025-01-09,Maharashtra,Pune,411002,1,0,0
2025-01-09,Maharashtra,Pune,411003,1,1,0
2025-01-09,Maharashtra,Pune,411004,1,0,0
2025-01-09,Maharashtra,Pune,411006,1,0,0
2025-01-09,Maharashtra,Pune,411008,1,0,0
2025-01-09,Maharashtra,Pune,411011,2,1,0
2025-01-09,Maharashtra,Pune,411014,4,6,1
2025-01-09,Maharashtra,Pune,411017,2,3,0
2025-01-09,Maharashtra,Pune,411033,3,5,0
2025-01-09,Maharashtra,Pune,411037,6,2,0
2025-01-09,Maharashtra,Pune,411043,1,0,0
2025-01-09,Maharashtra,Pune,411046,2,2,0
2025-01-09,Maharashtra,Pune,411061,0,2,0
2025-01-09,Maharashtra,Pune,412106,0,1,0
2025-01-09,Maharashtra,Pune,412114,2,1,0
2025-01-09,Maharashtra,Pune,412201,3,0,0
2025-01-09,Maharashtra,Pune,412208,2,0,0
2025-01-09,Maharashtra,Pune,412214,9,2,0
2025-01-09,Maharashtra,Pune,412303,1,0,0
2025-01-09,Maharashtra,Pune,413115,2,0,0
2025-01-09,Maharashtra,Pune,413120,1,0,0
2025-01-09,Maharashtra,Pune,413801,3,0,0
2025-01-05,Maharashtra,Pune,410502,57,10,21
2025-01-05,Maharashtra,Pune,411037,94,33,10
2025-01-07,Maharashtra,Pune,411001,159,70,14
2025-03-09,Maharashtra,Pune,410513,3,0,0
2025-03-09,Maharashtra,Pune,411004,1,0,0
2025-03-09,Maharashtra,Pune,411007,1,0,0
2025-03-09,Maharashtra,Pune,411013,2,1,0
2025-03-09,Maharashtra,Pune,411015,4,0,0
2025-03-09,Maharashtra,Pune,411035,1,1,0
2025-03-09,Maharashtra,Pune,411041,3,1,0
2025-03-09,Maharashtra,Pune,411043,1,0,0
2025-03-09,Maharashtra,Pune,411057,8,2,0
2025-03-09,Maharashtra,Pune,412101,9,1,0
2025-03-09,Maharashtra,Pune,412201,2,0,0
2025-03-09,Maharashtra,Pune,412203,6,2,0
2025-03-09,Maharashtra,Pune,412210,3,0,0
2025-03-09,Maharashtra,Pune,412212,0,1,0
2025-03-09,Maharashtra,Pune,412214,1,1,0
2025-03-09,Maharashtra,Pune,412308,6,2,0
2025-03-09,Maharashtra,Pune,412312,1,0,0
2025-03-09,Maharashtra,Pune,412403,1,0,0
2025-03-09,Maharashtra,Pune,412409,3,0,0
2025-02-09,Maharashtra,Pune,410405,1,0,0
2025-02-09,Maharashtra,Pune,410502,2,0,0
2025-02-09,Maharashtra,Pune,410505,5,1,0
2025-02-09,Maharashtra,Pune,411003,0,1,0
2025-02-09,Maharashtra,Pune,411017,5,3,0
2025-02-09,Maharashtra,Pune,411020,1,0,0
2025-02-09,Maharashtra,Pune,411042,5,1,0
2025-02-09,Maharashtra,Pune,411045,4,1,2
2025-02-09,Maharashtra,Pune,411046,5,4,0
2025-02-09,Maharashtra,Pune,411048,12,3,0
2025-02-09,Maharashtra,Pune,411051,2,0,0
2025-02-09,Maharashtra,Pune,411052,0,1,0
2025-02-09,Maharashtra,Pune,411057,5,4,0
2025-02-09,Maharashtra,Pune,411068,1,0,0
2025-02-09,Maharashtra,Pune,412102,3,0,0
2025-02-09,Maharashtra,Pune,412214,4,1,0
2025-02-09,Maharashtra,Pune,412308,0,4,0
2025-02-09,Maharashtra,Pune,412412,1,0,0
2025-02-09,Maharashtra,Pune,413102,12,1,0
2025-02-09,Maharashtra,Pune,413104,1,0,0
2025-05-09,Maharashtra,Pune,410403,1,0,0
2025-05-09,Maharashtra,Pune,410501,5,1,0
2025-05-09,Maharashtra,Pune,410509,1,0,0
2025-05-09,Maharashtra,Pune,411001,1,0,0
2025-05-09,Maharashtra,Pune,411016,1,0,0
2025-05-09,Maharashtra,Pune,411027,1,0,0
2025-05-09,Maharashtra,Pune,411028,3,2,0
2025-05-09,Maharashtra,Pune,411041,1,0,0
2025-05-09,Maharashtra,Pune,411045,0,1,0
2025-05-09,Maharashtra,Pune,411046,2,5,0
2025-05-09,Maharashtra,Pune,411047,1,0,0
2025-05-09,Maharashtra,Pune,412412,1,0,0
2025-05-09,Maharashtra,Pune,413132,1,0,0
2025-06-09,Maharashtra,Pune,410507,2,0,0
2025-06-09,Maharashtra,Pune,411015,1,0,0
2025-06-09,Maharashtra,Pune,411019,1,1,0
2025-06-09,Maharashtra,Pune,411040,0,1,0
2025-06-09,Maharashtra,Pune,411060,1,1,0
2025-06-09,Maharashtra,Pune,411062,1,0,0
2025-06-09,Maharashtra,Pune,412109,1,0,0
2025-06-09,Maharashtra,Pune,412207,8,1,0
2025-06-09,Maharashtra,Pune,412208,2,0,0
2025-06-09,Maharashtra,Pune,412214,4,0,0
2025-06-09,Maharashtra,Pune,412401,1,0,0
2025-06-09,Maharashtra,Pune,413103,1,1,0
2025-06-09,Maharashtra,Pune,413120,2,0,0
2025-04-09,Maharashtra,Pune,410401,2,0,0
2025-04-09,Maharashtra,Pune,410406,2,0,0
2025-04-09,Maharashtra,Pune,411004,3,0,0
2025-04-09,Maharashtra,Pune,411005,1,0,0
2025-04-09,Maharashtra,Pune,411013,1,0,0
2025-04-09,Maharashtra,Pune,411014,5,3,1
2025-04-09,Maharashtra,Pune,411019,0,1,0
2025-04-09,Maharashtra,Pune,411028,6,1,0
2025-04-09,Maharashtra,Pune,411057,8,3,0
2025-04-09,Maharashtra,Pune,411061,4,0,0
2025-04-09,Maharashtra,Pune,411062,5,1,0
2025-04-09,Maharashtra,Pune,412210,1,0,0
2025-04-09,Maharashtra,Pune,412211,4,1,0
2025-04-09,Maharashtra,Pune,412215,1,1,0
2025-07-09,Maharashtra,Pune,410504,1,0,0
2025-07-09,Maharashtra,Pune,411008,0,1,0
2025-07-09,Maharashtra,Pune,411014,1,0,0
2025-07-09,Maharashtra,Pune,411015,1,1,0
2025-07-09,Maharashtra,Pune,411048,3,0,0
2025-07-09,Maharashtra,Pune,412216,1,0,0
2025-07-09,Maharashtra,Pune,412219,1,0,0
2025-07-09,Maharashtra,Pune,412308,4,0,0
2025-08-09,Maharashtra,Pune,410401,1,0,0
2025-08-09,Maharashtra,Pune,410406,2,0,0
2025-08-09,Maharashtra,Pune,411004,1,0,0
2025-08-09,Maharashtra,Pune,411018,3,1,0
2025-08-09,Maharashtra,Pune,411027,6,2,0
2025-08-09,Maharashtra,Pune,411032,2,1,0
2025-08-09,Maharashtra,Pune,411034,1,0,0
2025-08-09,Maharashtra,Pune,411037,5,0,0
2025-08-09,Maharashtra,Pune,411038,6,1,0
2025-08-09,Maharashtra,Pune,411045,5,1,0
2025-08-09,Maharashtra,Pune,411046,4,4,1
