date,state,district,pincode,demo_age_5_17,demo_age_17
01-03-2025,Maharashtra,Pune,412205,18,481
01-03-2025,Maharashtra,Pune,411043,53,521
01-03-2025,Maharashtra,Pune,411057,129,1299
01-03-2025,Maharashtra,Pune,412209,13,358
01-03-2025,Maharashtra,Pune,412213,20,331
01-03-2025,Maharashtra,Pune,411028,167,1622
01-03-2025,Maharashtra,Pune,413106,69,927
01-04-2025,Maharashtra,Pune,411045,71,642
01-04-2025,Maharashtra,Pune,411033,193,1685
01-05-2025,Maharashtra,Pune,411028,160,1295
01-05-2025,Maharashtra,Pune,411048,248,1665
01-05-2025,Maharashtra,Pune,411046,125,1112
01-06-2025,Maharashtra,Pune,411062,220,1322
01-06-2025,Maharashtra,Pune,411060,96,691
01-03-2025,Maharashtra,Pune,411046,133,1413
01-03-2025,Maharashtra,Pune,411007,19,253
01-03-2025,Maharashtra,Pune,411004,12,229
01-03-2025,Maharashtra,Pune,411037,73,1122
01-03-2025,Maharashtra,Pune,412208,44,844
01-03-2025,Maharashtra,Pune,411058,57,531
01-03-2025,Maharashtra,Pune,411003,19,281
01-03-2025,Maharashtra,Pune,411027,68,741
01-03-2025,Maharashtra,Pune,412206,14,1025
01-03-2025,Maharashtra,Pune,412203,22,346
01-03-2025,Maharashtra,Pune,412403,16,240
01-03-2025,Maharashtra,Pune,412204,17,318
01-03-2025,Maharashtra,Pune,411048,193,1812
01-03-2025,Maharashtra,Pune,412201,17,291
01-06-2025,Maharashtra,Pune,412105,221,1590
01-06-2025,Maharashtra,Pune,411017,175,1111
01-07-2025,Maharashtra,Pune,411045,63,845
01-07-2025,Maharashtra,Pune,413102,115,1162
01-07-2025,Maharashtra,Pune,411014,209,1558
01-09-2025,Maharashtra,Pune,410501,1,49
01-09-2025,Maharashtra,Pune,410510,0,2
01-09-2025,Maharashtra,Pune,410512,0,3
01-09-2025,Maharashtra,Pune,410513,1,0
01-09-2025,Maharashtra,Pune,411020,0,4
01-09-2025,Maharashtra,Pune,411027,1,17
01-09-2025,Maharashtra,Pune,411030,0,11
01-09-2025,Maharashtra,Pune,411038,1,23
01-09-2025,Maharashtra,Pune,411039,0,20
01-09-2025,Maharashtra,Pune,411041,2,24
01-09-2025,Maharashtra,Pune,411047,3,18
01-09-2025,Maharashtra,Pune,412115,0,7
01-09-2025,Maharashtra,Pune,412203,2,18
01-09-2025,Maharashtra,Pune,412204,1,2
01-09-2025,Maharashtra,Pune,412206,0,12
01-09-2025,Maharashtra,Pune,412308,1,17
01-09-2025,Maharashtra,Pune,412312,0,1
01-09-2025,Maharashtra,Pune,412402,0,3
01-09-2025,Maharashtra,Pune,412404,2,3
01-09-2025,Maharashtra,Pune,412406,0,2
01-09-2025,Maharashtra,Pune,412410,1,8
01-09-2025,Maharashtra,Pune,412411,0,6
01-09-2025,Maharashtra,Pune,413102,10,32
01-09-2025,Maharashtra,Pune,413116,0,4
01-09-2025,Maharashtra,Pune,413132,0,3
02-09-2025,Maharashtra,Pune,410504,3,24
02-09-2025,Maharashtra,Pune,410507,2,14
02-09-2025,Maharashtra,Pune,411001,1,44
02-09-2025,Maharashtra,Pune,411004,0,9
02-09-2025,Maharashtra,Pune,411007,1,9
02-09-2025,Maharashtra,Pune,411015,5,31
02-09-2025,Maharashtra,Pune,411016,0,12
02-09-2025,Maharashtra,Pune,411023,1,11
02-09-2025,Maharashtra,Pune,411026,1,7
02-09-2025,Maharashtra,Pune,411030,4,15
02-09-2025,Maharashtra,Pune,411034,1,3
02-09-2025,Maharashtra,Pune,411037,1,35
02-09-2025,Maharashtra,Pune,411040,0,14
02-09-2025,Maharashtra,Pune,411058,6,9
02-09-2025,Maharashtra,Pune,412104,0,1
02-09-2025,Maharashtra,Pune,412109,2,11
02-09-2025,Maharashtra,Pune,412204,1,5
02-09-2025,Maharashtra,Pune,412209,3,3
02-09-2025,Maharashtra,Pune,412210,0,19
02-09-2025,Maharashtra,Pune,412306,0,9
02-09-2025,Maharashtra,Pune,412311,1,0
02-09-2025,Maharashtra,Pune,412402,0,1
02-09-2025,Maharashtra,Pune,413103,0,2
02-09-2025,Maharashtra,Pune,413114,2,18
02-09-2025,Maharashtra,Pune,413116,1,3
02-09-2025,Maharashtra,Pune,413211,0,1
02-09-2025,Maharashtra,Pune,413802,0,4
03-09-2025,Maharashtra,Pune,410503,0,9
03-09-2025,Maharashtra,Pune,410511,0,1
03-09-2025,Maharashtra,Pune,410515,0,3
03-09-2025,Maharashtra,Pune,410516,1,2
03-09-2025,Maharashtra,Pune,411002,2,14
03-09-2025,Maharashtra,Pune,411008,0,6
03-09-2025,Maharashtra,Pune,411018,1,14
03-09-2025,Maharashtra,Pune,411019,2,19
03-09-2025,Maharashtra,Pune,411028,9,53
03-09-2025,Maharashtra,Pune,411032,1,7
03-09-2025,Maharashtra,Pune,411033,7,41
03-09-2025,Maharashtra,Pune,411045,2,26
03-09-2025,Maharashtra,Pune,411046,2,30
03-09-2025,Maharashtra,Pune,411047,0,16
03-09-2025,Maharashtra,Pune,411051,0,10
03-09-2025,Maharashtra,Pune,411060,4,20
03-09-2025,Maharashtra,Pune,411068,0,2
03-09-2025,Maharashtra,Pune,412109,2,8
03-09-2025,Maharashtra,Pune,412115,3,19
03-09-2025,Maharashtra,Pune,412206,1,13
03-09-2025,Maharashtra,Pune,412208,1,11
03-09-2025,Maharashtra,Pune,412209,1,2
03-09-2025,Maharashtra,Pune,412211,1,11
03-09-2025,Maharashtra,Pune,412213,0,7
03-09-2025,Maharashtra,Pune,412301,1,5
03-09-2025,Maharashtra,Pune,412303,0,3
03-09-2025,Maharashtra,Pune,412408,0,4
03-09-2025,Maharashtra,Pune,412410,2,4
03-09-2025,Maharashtra,Pune,413120,1,8
04-09-2025,Maharashtra,Pune,410402,0,1
04-09-2025,Maharashtra,Pune,410403,0,1
04-09-2025,Maharashtra,Pune,410503,0,19
04-09-2025,Maharashtra,Pune,410504,3,20
04-09-2025,Maharashtra,Pune,410508,0,1
04-09-2025,Maharashtra,Pune,411002,1,12
04-09-2025,Maharashtra,Pune,411015,4,31
04-09-2025,Maharashtra,Pune,411021,8,15
04-09-2025,Maharashtra,Pune,411030,1,10
04-09-2025,Maharashtra,Pune,411031,2,1
04-09-2025,Maharashtra,Pune,411032,1,10
04-09-2025,Maharashtra,Pune,411034,0,2
04-09-2025,Maharashtra,Pune,411035,0,9
04-09-2025,Maharashtra,Pune,411040,3,2
04-09-2025,Maharashtra,Pune,411046,4,27
04-09-2025,Maharashtra,Pune,411048,8,43
04-09-2025,Maharashtra,Pune,411052,1,6
04-09-2025,Maharashtra,Pune,411058,0,11
04-09-2025,Maharashtra,Pune,412102,0,2
04-09-2025,Maharashtra,Pune,412104,0,3
04-09-2025,Maharashtra,Pune,412110,1,6
04-09-2025,Maharashtra,Pune,412202,0,8
04-09-2025,Maharashtra,Pune,412207,3,37
04-09-2025,Maharashtra,Pune,412214,2,14
04-09-2025,Maharashtra,Pune,412220,0,2
04-09-2025,Maharashtra,Pune,412408,0,2
04-09-2025,Maharashtra,Pune,412409,2,9
04-09-2025,Maharashtra,Pune,412410,0,5
04-09-2025,Maharashtra,Pune,412412,2,8
04-09-2025,Maharashtra,Pune,413104,0,23
04-09-2025,Maharashtra,Pune,413105,0,7
04-09-2025,Maharashtra,Pune,413110,1,8
04-09-2025,Maharashtra,Pune,413115,0,1
04-09-2025,Maharashtra,Pune,413116,0,1
04-09-2025,Maharashtra,Pune,413130,1,19
04-09-2025,Maharashtra,Pune,413132,0,8
04-09-2025,Maharashtra,Pune,413801,1,16
04-09-2025,Maharashtra,Pune,413802,0,1
06-09-2025,Maharashtra,Pune,410501,1,26
06-09-2025,Maharashtra,Pune,410512,0,2
06-09-2025,Maharashtra,Pune,411006,2,6
06-09-2025,Maharashtra,Pune,411011,0,2
06-09-2025,Maharashtra,Pune,411035,1,2
06-09-2025,Maharashtra,Pune,411041,1,15
06-09-2025,Maharashtra,Pune,411042,0,1
06-09-2025,Maharashtra,Pune,411044,0,1
06-09-2025,Maharashtra,Pune,411047,3,6
06-09-2025,Maharashtra,Pune,411052,0,5
06-09-2025,Maharashtra,Pune,411057,4,34
06-09-2025,Maharashtra,Pune,411068,0,2
06-09-2025,Maharashtra,Pune,412115,1,5
06-09-2025,Maharashtra,Pune,412308,1,8
06-09-2025,Maharashtra,Pune,412406,1,0
06-09-2025,Maharashtra,Pune,413106,1,1
06-09-2025,Maharashtra,Pune,413133,0,3
05-09-2025,Maharashtra,Pune,411005,0,5
05-09-2025,Maharashtra,Pune,411006,0,6
05-09-2025,Maharashtra,Pune,411009,1,5
05-09-2025,Maharashtra,Pune,411012,0,1
05-09-2025,Maharashtra,Pune,411013,2,5
05-09-2025,Maharashtra,Pune,411017,1,12
05-09-2025,Maharashtra,Pune,411020,1,1
05-09-2025,Maharashtra,Pune,411023,0,2
05-09-2025,Maharashtra,Pune,411024,0,2
05-09-2025,Maharashtra,Pune,411042,0,5
05-09-2025,Maharashtra,Pune,411057,2,16
05-09-2025,Maharashtra,Pune,411060,1,17
05-09-2025,Maharashtra,Pune,411062,2,29
05-09-2025,Maharashtra,Pune,412101,6,17
05-09-2025,Maharashtra,Pune,412105,4,36
05-09-2025,Maharashtra,Pune,412203,0,4
05-09-2025,Maharashtra,Pune,412205,0,5
05-09-2025,Maharashtra,Pune,412208,5,14
05-09-2025,Maharashtra,Pune,412209,1,2
05-09-2025,Maharashtra,Pune,412307,1,2
05-09-2025,Maharashtra,Pune,412402,1,3
05-09-2025,Maharashtra,Pune,412404,0,2
05-09-2025,Maharashtra,Pune,412406,0,3
05-09-2025,Maharashtra,Pune,413102,4,17
05-09-2025,Maharashtra,Pune,413106,1,4
05-09-2025,Maharashtra,Pune,413115,0,2
07-09-2025,Maharashtra,Pune,410501,1,15
07-09-2025,Maharashtra,Pune,410512,0,1
07-09-2025,Maharashtra,Pune,411009,0,1
07-09-2025,Maharashtra,Pune,411013,0,4
07-09-2025,Maharashtra,Pune,411018,0,3
07-09-2025,Maharashtra,Pune,411021,1,2
07-09-2025,Maharashtra,Pune,411032,1,1
07-09-2025,Maharashtra,Pune,411041,2,16
07-09-2025,Maharashtra,Pune,411060,0,5
07-09-2025,Maharashtra,Pune,412209,0,2
07-09-2025,Maharashtra,Pune,412210,2,8
07-09-2025,Maharashtra,Pune,412301,0,1
07-09-2025,Maharashtra,Pune,412307,1,6
07-09-2025,Maharashtra,Pune,412312,0,1
07-09-2025,Maharashtra,Pune,412412,0,2
08-09-2025,Maharashtra,Pune,410501,1,41
08-09-2025,Maharashtra,Pune,410504,1,16
08-09-2025,Maharashtra,Pune,410505,6,27
08-09-2025,Maharashtra,Pune,410510,0,1
08-09-2025,Maharashtra,Pune,410515,1,6
08-09-2025,Maharashtra,Pune,411005,1,3
08-09-2025,Maharashtra,Pune,411021,5,28
08-09-2025,Maharashtra,Pune,411061,3,14
